epoch,phase,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr
1,phase1,0.2209611382633447,0.2432788314597987,0.9056875,0.9075139392866626,0.8911019701234033,0.8743990384615384,0.001
2,phase1,0.2019200601011514,0.1855171087185348,0.91496875,0.9258783963182584,0.901416615340024,0.9065759384237828,0.001
3,phase1,0.1992134005472064,0.1987466715788596,0.91646875,0.9234003009115852,0.9031823417340974,0.9011817091967804,0.001
4,phase1,0.1968867332980036,0.1939510118804132,0.9177,0.926896185503142,0.9045644957891836,0.9051773619561474,0.001
5,phase1,0.1942329350471496,0.1825886329556684,0.91909375,0.9273387025400478,0.9060615516353054,0.9076905779176974,0.001
6,phase1,0.1937456915915012,0.1959749599083755,0.91916875,0.9249048588370652,0.906213968194113,0.9017314262551392,0.001
7,phase1,0.1937776849210262,0.2037427231217076,0.919325,0.9241525798743252,0.9063484002031488,0.900197973681146,0.001
8,phase1,0.1925683836743235,0.1921005380633436,0.9199125,0.928090981502788,0.90703039976783,0.9063022545119068,0.0005
9,phase1,0.1848071534350514,0.1893410157728473,0.92354375,0.928622001947075,0.9111367780271828,0.9063896465672334,0.0005
10,phase1,0.1791234295412898,0.1838414376367983,0.92615,0.9310558456500576,0.914117920688452,0.9104391814210164,0.0005
11,phase2,0.083864504693076,0.0562867245660206,0.9687625,0.97906894415435,0.9631187461259187,0.973374613003096,0.0001
12,phase2,0.0519699981303885,0.0507905115238255,0.98145625,0.9811045225241172,0.9779930426268904,0.9759774964838256,0.0001
13,phase2,0.0447529516761191,0.0516349826469992,0.984275,0.9823435702274538,0.9813203456775458,0.9772403171524728,0.0001
14,phase2,0.0382320038595236,0.0490943975492761,0.986525,0.983405611116028,0.9839888307984792,0.9787064902617684,0.0001
15,phase2,0.0354125489124562,0.0488601054888573,0.987075,0.982963094079122,0.9846391538164424,0.9782547303021746,0.0001
16,phase2,0.034785643163416535,0.05004986626087333,0.98754375,0.9829188423754315,0.9851928349071674,0.9781402197304337,0.0001
17,phase2,0.03340737404669635,0.05011656405391022,0.98834375,0.9821223117090008,0.9861456747019277,0.9771519058929985,0.0001
18,phase2,0.03207985673244111,0.05345954602390214,0.98858125,0.9829188423754315,0.9864249359141063,0.9779856279228927,0.0001
19,phase2,0.031090093198069373,0.05456989874561496,0.989025,0.9828303389680503,0.9869518049012469,0.9780120140541766,5e-05
20,phase2,0.023903244690573776,0.055583115556618864,0.99151875,0.9820338083016196,0.9899122057107175,0.9771781899943789,5e-05
